,years,total_deaths_accum,total_deaths_everest_accum,total_deaths_hired_accum,total_deaths_hired_everest_accum
1905,1905,5,0,4,0
1906,1906,5,0,4,0
1907,1907,5,0,4,0
1908,1908,5,0,4,0
1909,1909,5,0,4,0
1910,1910,5,0,4,0
1911,1911,5,0,4,0
1912,1912,5,0,4,0
1913,1913,5,0,4,0
1914,1914,5,0,4,0
1915,1915,5,0,4,0
1916,1916,5,0,4,0
1917,1917,5,0,4,0
1918,1918,5,0,4,0
1919,1919,5,0,4,0
1920,1920,5,0,4,0
1921,1921,7,2,5,1
1922,1922,14,9,12,8
1923,1923,14,9,12,8
1924,1924,18,13,14,10
1925,1925,18,13,14,10
1926,1926,18,13,14,10
1927,1927,18,13,14,10
1928,1928,18,13,14,10
1929,1929,19,13,14,10
1930,1930,20,13,15,10
1931,1931,24,13,18,10
1932,1932,24,13,18,10
1933,1933,24,13,18,10
1934,1934,25,14,18,10
1935,1935,25,14,18,10
1936,1936,25,14,18,10
1937,1937,25,14,18,10
1938,1938,25,14,18,10
1939,1939,25,14,18,10
1940,1940,25,14,18,10
1941,1941,25,14,18,10
1942,1942,25,14,18,10
1943,1943,25,14,18,10
1944,1944,25,14,18,10
1945,1945,25,14,18,10
1946,1946,25,14,18,10
1947,1947,25,14,18,10
1948,1948,25,14,18,10
1949,1949,25,14,18,10
1950,1950,25,14,18,10
1951,1951,26,14,18,10
1952,1952,27,15,19,11
1953,1953,28,15,19,11
1954,1954,34,15,20,11
1955,1955,37,15,21,11
1956,1956,38,15,22,11
1957,1957,41,15,24,11
1958,1958,42,15,24,11
1959,1959,50,15,27,11
1960,1960,52,16,28,11
1961,1961,57,16,30,11
1962,1962,58,17,31,12
1963,1963,61,18,31,12
1964,1964,65,19,31,12
1965,1965,67,19,33,12
1966,1966,68,20,33,12
1967,1967,68,20,33,12
1968,1968,68,20,33,12
1969,1969,82,21,37,13
1970,1970,95,29,45,20
1971,1971,111,30,50,20
1972,1972,133,31,62,20
1973,1973,151,32,66,21
1974,1974,163,38,74,26
1975,1975,182,41,80,27
1976,1976,188,42,81,27
1977,1977,194,42,81,27
1978,1978,212,44,86,28
1979,1979,237,50,95,32
1980,1980,257,54,97,33
1981,1981,271,54,99,33
1982,1982,294,65,105,38
1983,1983,321,68,110,39
1984,1984,339,77,116,42
1985,1985,373,84,119,42
1986,1986,399,89,123,45
1987,1987,422,92,127,46
1988,1988,450,102,133,50
1989,1989,484,110,142,52
1990,1990,501,114,150,54
1991,1991,523,116,155,54
1992,1992,557,124,165,59
1993,1993,571,131,166,60
1994,1994,599,136,171,62
1995,1995,613,140,177,65
1996,1996,639,155,180,68
1997,1997,663,164,184,71
1998,1998,681,168,186,71
1999,1999,694,172,189,71
2000,2000,710,174,195,71
2001,2001,727,179,196,72
2002,2002,741,182,203,72
2003,2003,755,186,205,73
2004,2004,771,193,207,73
2005,2005,805,199,220,73
2006,2006,839,210,233,77
2007,2007,854,217,237,78
2008,2008,868,218,241,78
2009,2009,887,223,244,80
2010,2010,908,226,246,80
2011,2011,930,230,247,80
2012,2012,958,240,252,83
2013,2013,981,248,262,87
2014,2014,1014,265,286,104
2015,2015,1036,279,298,115
2016,2016,1049,284,303,115
2017,2017,1059,290,305,116
2018,2018,1085,295,315,119
2019,2019,1106,306,318,120
